Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Nisshoku Kodatsu (#2),247940619022893065,,f1450d8e-ce86-4748-bd56-2c7635fea61b,https://images-ext-1.discordapp.net/external/Hlppz4Hjsv4PB1Bq1jFBCC12fJ16Ixyoyq0FvW25nHM/https/pm1.aminoapps.com/6917/135effb8a70ffe43be602d2f4b05a0ff7bf0d3f8r1-1200-748v2_hq.jpg?format=webp,,https://docs.google.com/spreadsheets/d/1cbyYyu1-MX4KO-AWE8BqWkHrvhzeOsZNtDpG9YJiSp8/edit?usp=sharing,"Arcanist [3], Orator [2]",,5,"The Feywyrd, Aldistir",,"A six foot tall young looking man. He's lithe, light, and sways when he walks. He has a sharp look to his eyes, and a number of tails which seem to flick about on their own. He wears a dark colored Kimono, adorned with many pieces. A pair of masks, a few fans, and a holy rod.

In times of crisis, Kodatsu flickers into a new form. While the shadow of Kodatsu's standard appearance represents the New Moon, his hair shifts white, and markings glow red. This represents the Full Moon. With this change, his voice and personality change quite drastically as well. The voice gets deeper, and he becomes much more intense.",,,,...,Growth
Noah🎤,173648039725105152,1201963473655832576,b89edd59-afaf-4030-914c-d8b3fa7e30a6,https://images-ext-1.discordapp.net/external/YyN14vzEzaLshXJZctBQiweLsEHNiliiBxgij8ogVWM/https/pm1.aminoapps.com/7177/9021589f35849073a1e200b949911adf82b90284r1-1173-2048v2_uhq.jpg,,https://docs.google.com/spreadsheets/d/1pq0NzigMARZBzIUgkcS1K5UwqRUyIikb4q91adpiTJU/edit?usp=sharing,"Esper 4, Chanter 4",,8,Karlsgard,,"6' 01""
180 lbs.
Always has face mask unless he's evoking his will upon the world with his voice.",Fugitive Experiment,,,,Fear
Noel Salbe,384371410576998401,1356362656864276736,973ae952-28dc-4df8-9f49-e7b40f5e2186,https://images-ext-1.discordapp.net/external/deFdCz1jmW6nQyN7eC93ItSAvx7gaNJEfxGQJaiAN-c/https/i.imgur.com/KWfKZOT.jpeg,,https://docs.google.com/spreadsheets/d/1G8dPGhkMGI1Z1VAG1kmiGMGm4fslCGNKz-vV_mgb0mU/edit#gid=0,Weaponmaster 10 | Rogue 10 | Wayfarer 10 | Tinkerer 1 | Arcanist 9,,40,"Kor'Tarion, The Otter's Nest",,5'10'' | 137 lbs. | Black Hair | Green Eyes,Old Transportation [I have a sloop in Lastport :D],"- The Master Sword
- Prince Damian's Royale Blade
- Prince Damian's Sword Gauntlet
- Meteoric-Aventurine Embedded Magi-Bracer
- Mithril Infused Great-Zweihänder
- Ancient Qilinguard Lance
- Nanite Shardblade
- ""The Trolley Problem""
- Heartbreaker",Yubel,A Pirate from Kor'Tarion just out here making it,Recovery
Noir,419689143443128321,1361501461527265280,85aeef00-4614-435d-9962-11a1519a0a72,https://i.imgur.com/EprAKjI.png,[Noir's Bio](https://discord.com/channels/1169852846083153941/1170111183869706362/1278344250219823250),[Noir's Sheet](https://docs.google.com/spreadsheets/d/1z4jMKDBE11ijXnpWRdZjot7zSrETOkjC-HH9VQofOdE/edit?gid=0#gid=0),"Weaponmaster [★], Tinkerer [★], Arcanist [7]",#B2A4D4,27,Lhodos - Korala,,"Noir stands at 5' 3"" with a slim build. She has sapphire colored eyes and pink toned hair. Commonly wearing either oil/grease stained coveralls or cargo pants and a bomber jacket. With a bunch of tools normally on hand.",[Old Transport - Airship](https://www.creativeuncut.com/gallery-02/art/ff12-airship-atomos.jpg),"__Claíomh Solais__
Custom Weapon - Heavy - Melee - [Dex + Ins]+1 - [HR+18] light, Elemental, Powerful, Defense Boost, Weapon Up","Tubalcain, Yubel","- Grew up and studied in Korala.
- Left after her parents died in a mysterious accident.
- Worked in secret to develop unique Exo-Armor
- Had a ""successful"" prototype due to using materials related to Tubalcain that began to resonate thanks to her passion for artifice.",Understanding
Nora Estelle,106867705159659520,1309315816176750592,e1e69499-a265-4e39-b223-af08260c07b7,https://www.4gamer.net/games/087/G008754/20090508022/TN/010.jpg,,https://docs.google.com/spreadsheets/d/1ZAZNPvHvLRgjYl930klc1z6GYp5xAcHa3fcyb9A4_Zs/edit?gid=0#gid=0,4 Arcanist 2 Entropy,,6,Kor'Tarion,,"A young lithe woman with azure hair and eyes, around 5' 10"" she tends to be timid around others she is unfamiliar with.",,,,,Self-Discovery
Nova,419689143443128321,1365462314882699520,0836ccdc-cf2f-491a-89d9-acc80b25710d,https://i.imgur.com/6rWSU78.png,[Nova's Bio](https://discord.com/channels/1169852846083153941/1170111183869706362/1364410545934958683),[Nova's Sheet](https://docs.google.com/spreadsheets/d/1FNKIui_J8-WUQIWcfOTeZuW_BjAMn-Atmz18oYiwqUI/edit?gid=0#gid=0),Esper [2] | Mutant [2] | Loremaster [1],#4B006E,5,Suntower City - Lhodos,||Sanya||,"A young woman with a thin build standing at 5' 6"", she has long white hair with red streaks and faded red tips. She has heterochromatic eyes, her left eye blue and her right a reddish brown.",Fugitive Experiment,,,"||- Was brought into the Merrani esper program at a young age from an orphanage.
- Did not show any signs of being able to use any abilities but successfully became a host, and was abandoned.
- Though hitching rides eventually made her way to Ionian, and lived on the streets.
- Signs of esper powers began to awake allowing her to help out more as she practiced these new abilities.
- Had a nightmare back to going through the experiments, waking to a handful of people killed or injured causing her to flee Ionian.||
```Information above is not remembered by PC```
- Found herself wandering in a haze through the wilderness of Lhodos, eventually stumbling her way, tattered and malnourished, at the gates of Suntower City.
- Was brought in for treatment but had an episode where she lashed out with her esper powers and had to be suppressed.
- Offered treatment at the New Hope Laboratory to purify her mind demon, in an attempt to stabilize her, she accepted and has begun to learn abilities anew.",Guilt
Nyx Selenbourne Atramentis,169054863978790913,1361430323367378944,f5188f4b-1639-4dde-a0d1-649d4647ae5d,https://i.ibb.co/DPhxJzPY/IMG-2038.png,,https://docs.google.com/spreadsheets/d/10lMzYZR-QNUt1QSSDnrrMd-4uoeCmUjL0XQUoqBCKG0/edit?usp=sharing,"Entropist 4
Elementalist 1",#341539,5,"Haven, Terra","Fairy Queen
Anette Wilson","Nyx is a short woman who to Kor'Tarian eyes might appear a fairy: silver hair, pointed ears, big purple eyes, butterfly-winged outfit that might appear to be growing out of her body. However, Terrans would notice that she's just a human with quite a few body mods. People with better RWO experience would even know she's wearing an ultra-legendary mage outfit.",Fugitive Experiment,,,"Nyx's parents died in the crossfire of a gang shootout when she was young, and she was left providing for her sister.
She made a ""living"" by working at a gold farm for RWO, and eventually was promoted to farming events for rich people in Triworld itself! Just as the moon decided to mildly explode and rain entropic shards down on Triworld.
Nyx got caught in an explosion and developed entropic powers, but the medical bills resulting from her seizures and temporary coma left her in deep debt. She decided to keep digging in case she came out on the other side of the planet, took out more loans to body mod herself into her RWO character and commission cosplay, and fight petty crime in her neighbourhood to keep her sister safe. She was taken by the Realmstorm as an extremely enhanced stylish exit.",Identity
Ogha Satsori,353252689724833793,1286685692000468992,45eed3c4-d310-4a03-9663-3641efce4e99,https://i.postimg.cc/wj9q82Nv/image-2024-07-19-153502278.png,,https://docs.google.com/spreadsheets/d/1EUd61SSQa2tzYb2BxMkXS-48G1oaFMZ6lkSYdgvR-B4/edit?usp=sharing,"Pilot: 7
Mutant: 2",,9,"Caldera, Lhodos",,"6,0 ft, 200 lbs, broad muscular figure, scars, red hairs, red iris (right) and blue iris (left).",,,,,Ambition
Olia Vol,299015281853071360,1362570844198535424,a1aa6281-6eb4-46cf-8d28-504b58582fcb,https://i.imgur.com/VpQhIn1.png,,https://docs.google.com/spreadsheets/d/1kAKqNmMmZ1zqwRj7Spw1sjSrkJnvB2uo1oEOa76bKM8/edit?usp=sharing,"Wayfarer - 3
★ Elementalist 
★ Spiritist
Rogue - 4
★ Empath
★ Arcanist 
Orator - 3",,50,Aldistir,,"Nothing about Olia screams powerful, standing at a tall 5'6 and no strength seen as she tries to stand tall. Her hair is red and long, hiding the small curled horns to the best of its ability but failing to keep hidden the long ears of her goat-like traits. Still, she tries to remain nondescript with dull-colored clothing that holds no other purpose but to help keep her warm on the colder days.",Cursed,"Winter Coat - Iceborne
Jester's Mask - Beggar's Luck
Healer's Rebuke - Healer's Ward
FI-LA. Reina - Blessed Bonds
Rejuvinating Herbs - Memorize (Heal)
Scale of Nidhoggr - Antistatus (Enraged)
Elementalist's Weavecrystal - Shroudshift
Luckstone - Peace Hunter
The Foxmother's Charm - You are Immune to Dark.
Golden Compass - Soul Steal Cleanse",,"- Was originally left to live in a small clan out of pity/kindness and the usefulness of her healing gifts that she assumed was due to Lorelie
- Was eventually considered too much of a liability and danger to the village due to being a Yokai and was left for dead once she was no longer a young child.
- Was found and saved by Brandr and traveled with him for years to come.",Hope
Olivia,334670035991658498,1178975530352132096,f77b3e03-583c-44e0-860b-fb7a6903f583,https://images-ext-1.discordapp.net/external/yb2zxPNpALEzehAjuYsTO5eVMsW26uQfqAWXHCSHNOU/%3F1627160661/https/cdna.artstation.com/p/assets/images/images/039/862/440/small/rinotuna-.jpg,,https://docs.google.com/spreadsheets/d/1-bGAA3S5I8l0J97sFZhc1ov3RmYNuLoWiDFFKP5hEro/edit#gid=0,Tinkerer[2] / Merchant[4],,6,"Tradefair, Kor'Tarion",,"Short, small and proud! Olivia dresses fancy but practical, with boots, skirts and jackets on top of ruffled shirts. She keeps sealed bottles on belts and pouches all over.
Her tophat and monocle form a trademark look that she refuses to drop.",,"Cracked Great Worm's Fang - Accessory: While in Crisis, you have resistance to Earth damage.",,,Hope
One,703317905302880295,1250488067957985536,d1d69ef0-f8cc-4a41-8149-dc7be06b7b3c,https://cdn.discordapp.com/attachments/1243401677785268255/1243630204031729695/FULL.png?ex=666a9022&is=66693ea2&hm=fb306a7ff336a8c2d1e86dda616d379d81c024dec608539c2d256498a77725fe&,,[Rage is more than an Emotion.](https://docs.google.com/spreadsheets/d/1xEZUXL7vTNTVb5orO3Ps0KZZozJjHz2V4xjsb4T_-Hs/edit?usp=sharing),Darkblade | Elementalist | Arcanist,,5,Half-Yokai of Tensei's Murata,,"Standing at a whopping 6' 7"", One's dominating stature and intimidating appearance are well justified by his muscular body type and yokai features, including the claws on his hands and the bi-sected tail coming from his waist.","Cultivator (Heavenly, Air Vuln.)",Claw Coverings | Two-Handed Brawling Weapon,,,Grit
Ophelia,551101063110066196,,f21b5e0a-2987-48dd-8df5-9df8413151d1,https://cdn.discordapp.com/attachments/1170110564819816468/1245557209803264131/comm33.png?ex=66592f0c&is=6657dd8c&hm=bff24b807cbc5f5a6bc889d7d24723ea19185061a72c7191831a9694f8824f1b&,,https://docs.google.com/spreadsheets/d/1UVgXGKRXrFhlWfD9wcUTzwqapTtowwCztGJjz1U6GBE/edit?usp=sharing,"Chanter 2, Chimerist 1, Wayfarer 2",,5,Kor'Tarion (Coyrnon Bay),,"Ophelia has dark skin, purple eyes and long golden hair. She has green scaled ears typical of a mers along with some green markings on her face. She wields a spear and a hand held harp. She wears a purple bandeau and a long green scarf skirt that fades into blue with some sandals. She also dons some blue seaweed bracelets along with a pink sea shell pendant on her neck along with a crown.",,,,,Hope
Ophiuchus,145516833817100288,1356346090344943616,1971747c-4106-4d57-a2df-b49a5623949f,https://i.imgur.com/ujKBp9j.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1276917453238042674,[There is something incredible up there.](https://docs.google.com/spreadsheets/d/1Asn0jk6CiodqI3zbwELGjmjwXxSfSbg5Mla-ExxcSsg/edit?usp=sharing]),"Elementalist ★
Esper ★
Loremaster ★
Entropist ★
Arcanist ★",#4b0082,50,Nezmira - Skarta (Ancient Observatory),Edith Bonamy,"Edith is short and slight in stature, at 4'8, with a pale complexion from her nocturnal lifestyle. She wears big, round glasses over pale blue eyes, and a dark bob of hair atop her head. She's changed to a more Terran look, with sweater and jacket, and on her back, carries an intricately designed telescope, folded up for ease of transport, and built by the long gone civilization responsible for the Ancient Observatory.",,"Cosmosuit [600z]: Spacesuit that protects from the environment.
Kármán Prism [2100z]: Crystal prism holding a chunk of the cosmos. +5 spell damage.
Starseeker Lens [1000z]: Telescope, [SLOWED] targets halve MP cost.",,"* Was a street urchin in Nezmira with the idea that only the night sky held a chance at freedom
* Used simple magical ability to survive
* Was drawn to the lost Ancient Observatory by the stars
* Locked herself away there to study, killing scouts of the Scalefire Empire that would come
* Was invited unto the Worldhelm during a larger-scale assault on her claimed home
* Has been made a Board Member of Orrery, and changed her name to Ophiuchus",Zeal
Opus Resbina,181195525914230784,1209229927199801344,926fb927-feb1-434b-8fde-4876444038e8,https://images-ext-1.discordapp.net/external/dMfpWvYVCQxr_H32l8c6IIoXKtmp7X59_W9eSGqgyE0/https/64.media.tumblr.com/5c53d1c0ae2c2339362cf4d760b98d01/10994164690bd94f-e9/s2048x3072/229947671595ba579ec7959a9c3ee3aae5841ab1.jpg,,https://docs.google.com/spreadsheets/d/1cFepV6QVcZ45lnOMcUnO1OeOyIpaOHmhjyqESTL4_-w/edit?usp=sharing,Arcanist 3 / Spiritist 2,,5,"Hudal Academy, Kor'Tarian",,"5'10"" | 200~ lbs. | Porcelain Skin w/ Black Sclera (One with Golden Iris). Break Over Left Eye.",Fugitive Experiment,,,,Belonging
Orbeen,298485047919378432,1196371154387095552,27e1cc51-2c7e-4377-bf3a-dbd885f65bcc,https://images-ext-1.discordapp.net/external/76JJMuKL4CAWHsJTpWyp3Txl-VSxxrAei_rc7iaqeG0/http/static.minitokyo.net/downloads/34/06/27834.jpg,,https://docs.google.com/spreadsheets/d/1HglZLeOkAWB9smQWI0s7xZV3FoGOqXbZsC_JxFeBUu8/edit#gid=0,"Floralist [3]
Weaponmaster [3]
Chimerist [1]",,7,"The Gwaed forest
Kor'Tarion",,"A small plant-humanoid who is 116cm long and wights 66kg. The head looks like an onion with orange hue on the ""leaf/hair"". He weilds a waraxe that is longer than him.",Arboreal,,,,Hope
Organa Bataar,59810251750252544,1326283445265105152,8aebca6d-429c-4489-bd77-e9e7e915cb83,https://i.imgur.com/B8L5kju.png,,https://docs.google.com/spreadsheets/d/1SA3hrbfPIdyA-XvEtdTMcL4YpPnTo-yePXR3yrnMEEY/edit?usp=sharing,"Weaponmaster 2
Arcanist 2
Entropist 1",,5,"Tian Yin, Leytik, Daringanga Village",,"Organa stands at a commanding 5'6"". A height that belies the formidable presence she exudes. She is clad in Mongolian-inspired black and white furs, each layer tailored to balance elegance with practicality. Her short hair is adorned with a crafted jade hairpiece and intricate beads that tell stories of her heritage. At her side, she carries a gracefully curved bronze sword, its edge gleaming with a promise of precision, while a sturdy round shield rests securely on her back, ready for any battle.",,,,,Freedom
